_step,test/achieved_goal,test/action,test/done,test/desired_goal,test/observations,test/causal_embedding,test/env_info,_runtime,test/reward,test/episode,global_step,_timestamp,test/steps
13,"[0.5002867579460144, -0.23693221807479858, 0.027979135513305664]","[0.7474250793457031, 0.9613305330276489, 0.720599889755249, -0.650266170501709]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5549945831298828, -0.06524702161550522, 0.06724020838737488, 0.06400135904550552, 0.5002867579460144, -0.23693221807479858, 0.027979135513305664, 0.08349491655826569, -0.061168916523456573, -0.0849764421582222]]","[-0.050374336540699005, 0.03704535961151123, 0.19633865356445312, -0.15009476244449615, -0.4109575152397156, -0.10968179255723953]","[1, 1]",75.122194382,-0.27561020851135254,1,13,1745573544.875042,7
14,"[0.5009992718696594, -0.23496019840240479, 0.028518734499812126]","[0.7474250793457031, 0.9613305330276489, 0.720599889755249, -0.650266170501709]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5996749401092529, 0.01977481320500374, 0.059757065027952194, 0.07974494248628616, 0.5009992718696594, -0.23496019840240479, 0.028518734499812126, 0.06792262196540833, -0.042227234691381454, -0.11142773181200027]]","[0.05347659811377525, 0.0016751885414123535, 0.21387642621994019, -0.30041584372520447, -0.46874934434890747, -0.027558133006095886]","[1, 1]",75.163254148,-0.27351057529449463,1,14,1745573549.6353462,8
0,"[0.5012039542198181, -0.23405709862709045, 0.02879926934838295]","[-0.43948042392730713, -0.10770630836486816, -0.08997666835784912, 0.2961989641189575]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6159836053848267, -0.004821451380848885, 0.19253665208816528, 0.013087366707623005, 0.5012039542198181, -0.23405709862709045, 0.02879926934838295, 0.0720587968826294, -0.042219702154397964, -0.1119178757071495]]","[0.07112817466259003, -0.03400230407714844, 0.27997663617134094, 0.2545381188392639, 0.15232236683368683, 0.38011133670806885]","[1, 1]",19.949722968,-0.27259331941604614,0,0,1745573659.6407907,0
1,"[0.5010248422622681, -0.23430068790912628, 0.02876773476600647]","[-0.6376917362213135, -0.9817028045654297, -0.18983745574951172, 0.5365829467773438]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5839120149612427, -0.05357126519083977, 0.18232165277004242, 0.07999776303768158, 0.5010248422622681, -0.23430068790912628, 0.02876773476600647, 0.07157976925373077, -0.042292818427085876, -0.1111382320523262]]","[-0.0467773899435997, 0.013941287994384766, 0.30387482047080994, 0.22147484123706818, 0.1490515023469925, 0.4016640782356262]","[1, 1]",23.057460712,-0.27288541197776794,0,1,1745573663.7777476,1
2,"[0.5007254481315613, -0.23451192677021027, 0.028814872726798058]","[-0.7284701466560364, -0.991768479347229, -0.38796985149383545, 0.6884720325469971]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5473141074180603, -0.10287199169397354, 0.16227605938911438, 0.07999841868877411, 0.5007254481315613, -0.23451192677021027, 0.028814872726798058, 0.09383880347013474, -0.06576764583587646, -0.07938850671052933]]","[0.03378085047006607, -0.028209656476974487, 0.2374563217163086, 0.28369614481925964, 0.09114786982536316, 0.33761727809906006]","[1, 1]",26.402109661,-0.2731907069683075,0,2,1745573666.8859174,2
3,"[0.5009968280792236, -0.23282836377620697, 0.02964845485985279]","[-0.7682579159736633, -0.9907675981521606, -0.5186067223548889, 0.7202447652816772]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5088847875595093, -0.15208719670772552, 0.13609051704406738, 0.07999841868877411, 0.5009968280792236, -0.23282836377620697, 0.02964845485985279, 0.06971009820699692, -0.039379093796014786, -0.11078211665153503]]","[0.04671235755085945, -0.07750342041254044, 0.05549159646034241, 0.12720206379890442, 0.0572996661067009, 0.21364377439022064]","[1, 1]",29.674231484,-0.27152150869369507,0,3,1745573670.2304428,3
4,"[0.5010994672775269, -0.23249828815460205, 0.028871888294816017]","[-0.286429762840271, -0.9839577078819275, -0.6774410009384155, 0.7197779417037964]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.49448487162590027, -0.20100396871566772, 0.10201862454414368, 0.07999907433986664, 0.5010994672775269, -0.23249828815460205, 0.028871888294816017, 0.07028088718652725, -0.04086935147643089, -0.1113627478480339]]","[-0.0059499591588974, 0.0758913904428482, 0.02338958904147148, 0.05491216480731964, 0.1273500621318817, 0.1100136786699295]","[1, 1]",33.650307889,-0.27117887139320374,0,4,1745573673.502591,4
5,"[0.5009933710098267, -0.23262105882167816, 0.03025069832801819]","[0.1591261625289917, -0.8996003866195679, -0.9785701036453247, 0.617522120475769]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.502452552318573, -0.24553464353084564, 0.05316483601927757, 0.08000169694423676, 0.5009933710098267, -0.23262105882167816, 0.03025069832801819, 0.0677156150341034, -0.04104837030172348, -0.11219783127307892]]","[0.0377030074596405, 0.16961060464382172, -0.07642702013254166, -0.07004086673259735, 0.03932526707649231, 0.03749255836009979]","[1, 1]",37.321014971,-0.2713296413421631,0,5,1745573677.47867,5
6,"[0.5013701915740967, -0.2326710969209671, 0.02998868189752102]","[0.30778491497039795, 0.8344968557357788, 0.2322596311569214, -0.5830947160720825]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5173162221908569, -0.20368406176567078, 0.06401237100362778, 0.06400201469659805, 0.5013701915740967, -0.2326710969209671, 0.02998868189752102, 0.07037968933582306, -0.04435814544558525, -0.10873942822217941]]","[0.09573372453451157, 0.13525594770908356, 0.23552843928337097, 0.12573008239269257, -0.3210948705673218, -0.27871692180633545]","[1, 1]",46.107031339,-0.27123886346817017,0,6,1745573681.1493762,6
7,"[0.5029528737068176, -0.2309354692697525, 0.0301078949123621]","[0.30778491497039795, 0.8344968557357788, 0.2322596311569214, -0.5830947160720825]",True,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5997111797332764, 0.019733427092432976, 0.05978839471936226, 0.07883808761835098, 0.5029528737068176, -0.2309354692697525, 0.0301078949123621, 0.0659106969833374, -0.03964783996343613, -0.13640111684799194]]","[-0.01643233746290207, 0.0868748277425766, 0.18805503845214844, 0.030062254518270493, -0.45901280641555786, -0.08502306044101715]","[1, 1]",56.202644345,-0.26904788613319397,0,7,1745573689.9354446,7
8,"[0.5033770799636841, -0.2324812114238739, 0.02870546653866768]","[0.5957522392272949, 0.5436320304870605, -0.48869937658309937, -0.4480116367340088]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6677749156951904, 0.027285302057862282, 0.17319355905056, 0.00010309666686225682, 0.5033770799636841, -0.2324812114238739, 0.02870546653866768, 0.07157963514328003, -0.0431983508169651, -0.13698695600032806]]","[0.17479118704795837, -0.40868842601776123, -0.18475234508514404, -0.29243841767311096, -0.1658148616552353, 0.37396395206451416]","[1, 1]",62.158904984,-0.27034130692481995,1,8,1745573700.0310035,0
9,"[0.5029230117797852, -0.23351874947547913, 0.02849915623664856]","[-0.5957436561584473, -0.8617788553237915, -0.05533492565155029, 0.5838199853897095]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.6377939581871033, -0.01564781181514263, 0.1697089821100235, 0.07999709993600845, 0.5029230117797852, -0.23351874947547913, 0.02849915623664856, 0.0708339661359787, -0.04309838265180588, -0.13490766286849976]]","[-0.1988433599472046, -0.19319820404052734, 0.33069729804992676, 0.18028853833675385, 0.07845845073461533, 0.5111621618270874]","[1, 1]",65.50979453,-0.2714736759662628,1,9,1745573705.9869394,1
10,"[0.5026238560676575, -0.23629020154476166, 0.027938976883888245]","[-0.828226625919342, -0.9923525452613831, 0.056542277336120605, 0.6156314611434937]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5962370038032532, -0.06492358446121216, 0.17184662818908691, 0.07999776303768158, 0.5026238560676575, -0.23629020154476166, 0.027938976883888245, 0.09395993500947952, -0.062384139746427536, -0.10365870594978333]]","[0.075896717607975, -0.14654183387756348, 0.24942821264266968, 0.11857999861240387, 0.07722509652376175, 0.5480981469154358]","[1, 1]",68.818206926,-0.2741733491420746,1,10,1745573709.3381608,2
11,"[0.5027520060539246, -0.23550193011760712, 0.028018437325954437]","[-0.8063864707946777, -0.9912675023078918, -0.2875235080718994, 0.6062086820602417]",False,"[0.6000000238418579, 0.019999999552965164, 0.029999999329447746]","[[0.5557676553726196, -0.11421126872301102, 0.1568387746810913, 0.07999907433986664, 0.5027520060539246, -0.23550193011760712, 0.028018437325954437, 0.09250592440366745, -0.062351442873477936, -0.10500483214855194]]","[-0.11271270364522934, -0.11709906160831451, 0.27740952372550964, 0.24518537521362305, 0.08618480712175369, 0.47621506452560425]","[1, 1]",71.853665432,-0.27339044213294983,1,11,1745573712.6465867,3
